"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.848416665E-3,-3.936813354E-2,7.454498291E-2,9.732910309E0
1.189941667E-2,-4.999603271E-2,7.244934082E-2,9.731114044E0
2.195041667E-2,-8.442443848E-2,5.313949585E-2,9.728569336E0
3.200141666E-2,-1.098715210E-1,4.385879517E-2,9.726024628E0
4.205241667E-2,-1.207987976E-1,3.921844482E-2,9.729617157E0
5.210341667E-2,-1.410067749E-1,2.140548706E-2,9.734257507E0
6.215441666E-2,-1.475930786E-1,7.484436035E-3,9.736203461E0
7.220541667E-2,-1.498384094E-1,-4.490661621E-3,9.729467468E0
8.225641667E-2,-1.523831177E-1,-9.280700684E-3,9.734257507E0
9.230741666E-2,-1.460961914E-1,-2.095642090E-3,9.721833344E0
1.023584167E-1,-1.468446350E-1,-8.981323242E-4,9.738598480E0
1.124104167E-1,-1.348695374E-1,5.538482666E-3,9.735005951E0
1.224614167E-1,-1.264869690E-1,1.317260742E-2,9.728419647E0
1.325124167E-1,-1.113684082E-1,1.930984497E-2,9.731263733E0
1.425634167E-1,-1.083746338E-1,2.365081787E-2,9.727222137E0
1.526144167E-1,-1.154100037E-1,3.338058472E-2,9.730215912E0
1.626654167E-1,-1.176553345E-1,3.397933960E-2,9.738149414E0
1.727164167E-1,-1.200503540E-1,3.308120728E-2,9.736652527E0
1.827674167E-1,-1.181044006E-1,3.487747192E-2,9.735754395E0
1.928184167E-1,-1.228944397E-1,3.607498169E-2,9.724827118E0
2.028694167E-1,-1.210981750E-1,3.248245239E-2,9.732311554E0
2.129204167E-1,-1.279838562E-1,2.260299683E-2,9.735155640E0
2.229714167E-1,-1.320254517E-1,1.601669312E-2,9.731862488E0
2.330224167E-1,-1.327738953E-1,2.335144043E-2,9.732012177E0
2.430734167E-1,-1.303788757E-1,1.766326904E-2,9.730365601E0
2.531244167E-1,-1.311273193E-1,1.197509766E-2,9.725126495E0
2.631754167E-1,-1.312770081E-1,1.766326904E-2,9.740394745E0
2.732264167E-1,-1.285826111E-1,1.362167358E-2,9.731114044E0
2.832774167E-1,-1.296304321E-1,2.903961182E-2,9.726024628E0
2.933284167E-1,-1.236428833E-1,2.350112915E-2,9.732461243E0
3.033794167E-1,-1.139131165E-1,2.619552612E-2,9.729916534E0
3.134314167E-1,-1.112187195E-1,3.278182983E-2,9.719438324E0
3.234814167E-1,-1.181044006E-1,2.814147949E-2,9.733059998E0
3.335334167E-1,-1.305285645E-1,3.143463135E-2,9.742939453E0
3.435844167E-1,-1.242416382E-1,2.409988403E-2,9.733359375E0
3.536354167E-1,-1.191522217E-1,2.350112915E-2,9.730814667E0
3.636864167E-1,-1.282832336E-1,2.155517578E-2,9.735904083E0
