"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.875416664E-3,3.223055042E-3,1.509796828E-3,2.352985321E-3
1.692641667E-2,-5.750148557E-4,-3.684405237E-4,-1.452842960E-3
2.697741667E-2,3.408463672E-4,-1.061661169E-3,-1.879747608E-3
3.702841666E-2,5.241185427E-4,-1.917444170E-4,-3.488432616E-3
4.707941667E-2,-1.949425321E-3,-1.498024911E-3,-5.391794257E-3
5.713041667E-2,-1.387021039E-3,-2.989862114E-4,-5.078339949E-3
6.718141666E-2,1.240986399E-3,7.774634287E-4,-4.791517742E-3
7.723241667E-2,6.402018480E-4,1.152818091E-3,-5.015353672E-3
8.728341667E-2,-1.278339420E-3,2.234327607E-3,1.733096549E-3
9.733441666E-2,-1.634187996E-3,5.017500371E-4,-9.268211434E-4
1.073864167E-1,-2.344985725E-3,-5.431845784E-5,1.049777027E-3
1.174374167E-1,-6.794556975E-5,-2.675913274E-4,2.343691885E-3
1.274884167E-1,-7.688896731E-4,3.116466105E-4,6.030838471E-3
1.375394167E-1,3.808289766E-4,4.475144669E-4,1.811011927E-3
1.475904167E-1,9.241136722E-4,3.606947139E-4,1.087164739E-3
1.576414167E-1,2.586129121E-4,-2.250230871E-3,2.962515224E-3
1.676924167E-1,3.337138332E-4,1.837987453E-3,7.538218051E-5
1.777434167E-1,-6.148926914E-4,2.896407619E-3,-2.210770966E-3
1.877944167E-1,1.407245174E-3,3.368435428E-4,-9.505631751E-4
1.978454167E-1,-5.497438833E-4,-8.484739810E-4,-2.675281372E-3
2.078964167E-1,-2.699447330E-3,1.636788249E-3,-1.001751050E-3
2.179474167E-1,-2.807886340E-4,-1.118998043E-3,-2.462742617E-3
2.279984167E-1,1.551998779E-3,-5.719847977E-4,1.719302963E-5
2.380494167E-1,1.251687296E-3,-1.038665883E-3,-1.952429302E-4
2.481004167E-1,-2.894839272E-4,-8.735498413E-4,-4.399575293E-3
2.581514167E-1,7.839309983E-4,-2.097751945E-3,-1.866964507E-3
2.682024167E-1,-2.025039867E-4,5.168467760E-5,-7.676115492E-4
2.782534167E-1,-3.557419404E-4,1.564805396E-3,1.819419209E-3
2.883044167E-1,7.366868667E-4,-5.185855553E-4,6.897062995E-4
2.983554167E-1,-1.326465514E-3,3.231232986E-4,7.727496559E-4
3.084074167E-1,4.658419639E-4,1.128196716E-3,-2.122905571E-3
3.184574167E-1,-6.632553414E-4,7.692920044E-4,-1.106584445E-3
3.285094167E-1,5.093342625E-4,1.666777767E-3,-2.868265379E-3
3.385604167E-1,-7.268898189E-4,2.658329904E-3,1.290526707E-3
3.486114167E-1,2.430332825E-4,-4.154035822E-3,-1.211779425E-3
3.586624167E-1,1.465528272E-3,-1.994650811E-4,-3.081610193E-4
3.687134167E-1,-2.572622616E-3,7.443586364E-4,-2.085821005E-3
3.787644167E-1,-6.545940414E-4,2.125628293E-3,9.367163293E-4
3.888149167E-1,2.407774795E-3,7.277247496E-3,1.475739991E-3
3.988659167E-1,4.666500259E-3,1.025002543E-2,1.139238942E-2
4.089169167E-1,5.534424912E-3,8.979962207E-3,5.251292884E-2
4.189679167E-1,5.688410252E-3,1.482398249E-3,1.194198355E-1
4.290189167E-1,7.696699351E-3,-4.272426479E-3,1.798743904E-1
4.390699167E-1,7.102175616E-3,-1.174974255E-3,2.268275470E-1
4.491209167E-1,1.161037572E-2,-1.770190895E-3,2.600355744E-1
4.591719167E-1,2.519126981E-3,1.576974057E-3,2.952170670E-1
4.692229167E-1,4.658444785E-3,-2.247591503E-3,3.379062116E-1
4.792739167E-1,-9.200933389E-3,2.114688978E-3,3.632705808E-1
4.893249167E-1,-7.267744746E-3,-7.657248061E-3,3.509659767E-1
4.993759167E-1,3.362262249E-2,-3.903569281E-2,3.312654495E-1
5.094269167E-1,3.913217038E-2,-3.102570400E-2,3.011453748E-1
5.194779167E-1,3.602727503E-2,1.330550760E-3,2.708779871E-1
5.295289167E-1,1.012031361E-2,9.896608070E-3,2.328365743E-1
5.395809167E-1,2.203320339E-2,1.750404947E-3,1.855295449E-1
5.496319167E-1,3.007009067E-2,-1.773487963E-2,1.526416391E-1
5.596829167E-1,3.323291987E-2,-8.849657141E-3,1.173831299E-1
5.697339167E-1,4.149564356E-2,-2.003306895E-2,8.661749214E-2
5.797849167E-1,2.741170861E-2,-1.480902731E-2,6.466819346E-2
5.898359167E-1,3.278117627E-2,2.512374148E-2,5.184534192E-2
5.998869167E-1,1.520464756E-2,-7.558651268E-4,4.633973539E-2
6.099379167E-1,3.740848601E-2,-3.378012776E-2,4.210424423E-2
6.199889167E-1,3.542859480E-2,5.266888998E-3,4.325950146E-2
6.300399167E-1,9.652655572E-3,1.371070649E-2,3.892041370E-2
6.400909167E-1,4.369779676E-2,-8.514260873E-3,4.750613868E-2
6.501419167E-1,2.926932462E-2,-1.702705584E-2,5.032775551E-2
6.601929167E-1,7.001175545E-3,-1.404809579E-2,6.443080306E-2
6.702439167E-1,8.569511585E-3,4.103619605E-2,7.895222306E-2
6.802949167E-1,1.933289878E-2,1.108792797E-2,8.807729185E-2
6.903459167E-1,1.337780431E-2,-2.768290415E-2,9.076362103E-2
7.003969167E-1,2.452587709E-2,1.072876621E-2,8.017171174E-2
7.104479167E-1,2.318604104E-2,-3.523407504E-3,6.165794656E-2
7.204989167E-1,-1.076011918E-3,-6.519295275E-2,6.803409010E-2
7.305499167E-1,-2.695661038E-2,1.360838395E-2,3.916889057E-2
7.406009167E-1,-7.108050399E-3,5.584290624E-2,2.018840052E-2
7.506529167E-1,2.369646728E-2,-2.293766290E-2,-2.841018373E-3
7.607039167E-1,2.282173373E-4,-1.778911985E-2,-1.626079902E-2
7.707549167E-1,8.364832029E-4,8.338087238E-3,-4.255232587E-2
7.808059167E-1,-5.174708087E-3,-6.036348641E-2,-4.461795837E-2
7.908569167E-1,5.036950856E-2,-5.503290147E-2,-4.684729129E-2
8.009079167E-1,-1.749650761E-2,1.548112929E-1,-5.435161293E-2
8.109589167E-1,-1.165570468E-1,1.435620934E-1,-5.658121035E-2
8.210099167E-1,1.402313355E-2,-1.462280564E-2,-5.022600293E-2
8.310609167E-1,3.754443675E-2,-1.361719612E-2,-6.259478629E-2
8.411119167E-1,-6.557597220E-2,-5.896276794E-3,-6.273015589E-2
8.511629167E-1,3.727716953E-2,2.829551511E-2,-1.109839678E-1
8.612139167E-1,-1.933000050E-2,-1.202365234E-1,-1.300339401E-1
8.712649167E-1,1.455339883E-2,1.258989424E-1,-1.644901782E-1
8.813159167E-1,7.734195143E-2,-3.956457973E-2,-1.809011102E-1
8.913669167E-1,-3.592016175E-2,4.344641790E-2,-2.238184810E-1
9.014179167E-1,4.673022777E-2,6.424740702E-2,-2.197978199E-1
9.114689167E-1,6.056188792E-2,1.340725571E-1,-2.610957325E-1
9.215199167E-1,-4.162787646E-2,-4.526673630E-2,-2.639625371E-1
9.315709167E-1,6.189265847E-2,-4.725611582E-2,-2.549922168E-1
9.416219167E-1,4.358199984E-2,5.641017482E-2,-2.689737678E-1
9.516729167E-1,-2.674728632E-2,4.777567461E-2,-2.985867858E-1
9.617239167E-1,5.084699392E-2,-1.143960729E-1,-3.054147959E-1
9.717749167E-1,6.643714011E-2,4.701625556E-2,-3.407005966E-1
9.818269167E-1,3.172587603E-2,3.342123702E-2,-3.841070235E-1
9.918779167E-1,1.504857559E-3,-2.019249797E-1,-4.376171231E-1
1.001928917E0,8.654387668E-3,-1.289521344E-3,-4.622353911E-1
1.011979917E0,7.611119002E-2,-1.024981588E-1,-5.163721442E-1
1.022030917E0,6.976684928E-2,1.699542105E-1,-5.366421342E-1
1.032081917E0,1.641360670E-2,-4.329228774E-2,-5.270432830E-1
1.042132917E0,-3.475720435E-2,-1.620899141E-1,-5.346644521E-1
1.052183917E0,1.142490581E-1,6.067658216E-2,-5.565788150E-1
1.062234917E0,-3.794400394E-2,-2.171889693E-2,-5.472387075E-1
1.072285917E0,-8.430778235E-2,-2.013218589E-2,-5.730524659E-1
1.082336917E0,4.054951295E-2,-4.084203392E-2,-5.984968543E-1
1.092387917E0,-3.809576482E-2,-1.744150072E-1,-5.938054323E-1
1.102438917E0,5.826219171E-2,2.118282318E-1,-6.007426381E-1
1.112489917E0,-3.934080154E-2,9.966679662E-2,-6.057088971E-1
1.122540917E0,2.972957306E-2,-4.434572905E-2,-5.592572093E-1
1.132591917E0,4.110228270E-3,7.523393631E-2,-6.074146628E-1
1.142642917E0,2.265676558E-1,1.118667498E-1,-6.054058075E-1
1.152693917E0,-9.096290916E-2,-4.784316719E-1,-6.208094954E-1
1.162744917E0,9.553588182E-2,1.514438987E-1,-6.558552384E-1
1.172795917E0,-5.367091298E-2,-2.029038072E-1,-6.419673562E-1
1.182846917E0,-2.184014581E-2,1.236149203E-2,-6.557587385E-1
1.192897917E0,-1.229697466E-2,2.401468530E-2,-6.727648973E-1
1.202948917E0,6.400796026E-2,5.095677823E-2,-6.743558645E-1
1.212999917E0,-2.325051278E-2,7.711834460E-2,-6.432874799E-1
1.223051917E0,-1.027793810E-2,-2.194055915E-2,-6.431621313E-1
1.233102917E0,8.898366988E-2,6.791582704E-2,-6.071708202E-1
1.243153917E0,-4.719874635E-2,9.601322562E-2,-5.693950057E-1
1.253204917E0,1.046789363E-1,1.575543433E-1,-5.796561837E-1
1.263255917E0,-1.734888926E-2,-1.660079062E-1,-5.255556107E-1
1.273306917E0,-1.131555736E-1,9.801255912E-2,-5.381563306E-1
1.283357917E0,1.922766864E-2,2.769860327E-1,-5.036717653E-1
1.293408917E0,3.091415204E-2,-9.145243466E-2,-5.020792484E-1
1.303459917E0,-1.994237676E-2,9.771953523E-2,-5.047825575E-1
1.313510917E0,1.483659446E-1,2.527436242E-2,-4.592672884E-1
1.323561917E0,-1.327783018E-1,-1.649448276E-1,-5.170623064E-1
1.333612917E0,-1.881445572E-2,7.201765478E-2,-4.959317446E-1
1.343663917E0,-3.099215403E-2,-9.920563549E-2,-5.412880182E-1
1.353714917E0,2.095059305E-1,1.577739716E-1,-5.405297875E-1
1.363765917E0,1.282665431E-1,-3.724398091E-2,-5.240935087E-1
1.373816917E0,-1.633320935E-4,-7.529815286E-2,-5.314148068E-1
1.383867917E0,1.571429223E-1,1.512290090E-1,-5.501673222E-1
1.393919167E0,7.944092900E-2,8.461004496E-2,-5.400949717E-1
1.403970167E0,5.989087746E-2,8.455035090E-2,-5.447426438E-1
1.414021167E0,-1.118246838E-1,-7.613946497E-2,-5.206442475E-1
1.424072167E0,-8.199944347E-2,1.171540320E-1,-5.199561715E-1
1.434123167E0,-1.795265377E-1,2.838801742E-1,-5.265908837E-1
1.444174167E0,-9.750376940E-1,1.185491383E-1,-5.032722354E-1
1.454225167E0,-2.371061593E-1,-1.320146322E-1,-5.960966945E-1
1.464277167E0,-6.072435528E-2,-1.813986301E-1,-6.083775759E-1
1.474328167E0,3.836441040E-2,4.449654371E-2,-5.993872881E-1
1.484379167E0,-5.947011337E-2,1.064058244E-1,-6.728091240E-1
1.494430167E0,-1.067920923E-1,4.456414282E-1,-7.093924284E-1
1.504481167E0,-1.684684604E-1,-1.522869244E-2,-7.757164240E-1
1.514532167E0,-2.843118832E-2,-1.028853059E-1,-7.974403501E-1
1.524583167E0,2.885204554E-2,1.540657431E-1,-8.413999081E-1
1.534634167E0,-1.199491546E-1,-2.659166232E-2,-8.934503198E-1
1.544685167E0,-1.777520627E-1,1.714834869E-1,-8.719719052E-1
1.554736167E0,1.772695221E-3,5.368495360E-2,-8.921176791E-1
1.564787167E0,6.644977629E-2,-1.985882074E-1,-8.455675840E-1
1.574838167E0,-4.938894510E-2,-3.799585402E-1,-8.606246114E-1
1.584889167E0,1.231363937E-1,-4.869931042E-1,-8.046347499E-1
1.594940167E0,1.678497940E-1,-2.648838758E-1,-7.787672281E-1
1.604991167E0,9.362207353E-2,-3.210284412E-1,-7.662878633E-1
1.615042167E0,-1.049314346E-2,-4.237348437E-1,-7.299810052E-1
1.625093167E0,-8.822439238E-3,-2.563096583E-1,-6.854825020E-1
1.635144167E0,3.321902081E-2,1.122763753E-1,-7.838018537E-1
1.645195167E0,3.359495476E-2,-4.030702114E-1,-8.701909184E-1
1.655246167E0,3.383810073E-2,-3.002066910E-1,-7.622268796E-1
1.665297167E0,-1.166446880E-1,7.581956685E-2,-8.506400585E-1
1.675348167E0,3.487293422E-2,5.828051642E-2,-8.059130907E-1
1.685399167E0,-2.329736203E-2,1.219574288E-1,-7.490331531E-1
1.695450167E0,7.446435094E-2,-9.625080228E-2,-6.730585098E-1
1.705501167E0,8.381755650E-2,-2.598693967E-1,-7.497956753E-1
1.715553167E0,-1.848333478E-1,1.606567949E-1,-8.521170020E-1
1.725604167E0,9.973570704E-2,-1.930752695E-1,-6.855313778E-1
1.735655167E0,2.878978848E-1,-1.022915617E-1,-7.086358666E-1
1.745706167E0,-5.156656727E-2,3.163184822E-1,-7.657228708E-1
1.755757167E0,1.279440820E-1,-1.581529379E-1,-6.812511086E-1
1.765808167E0,3.898155317E-2,-1.775976866E-1,-5.763396621E-1
1.775859167E0,6.592608243E-2,1.339767128E-1,-5.923418403E-1
1.785910167E0,2.579137981E-1,2.655317485E-1,-5.738074780E-1
1.795961167E0,9.716299176E-2,-1.255084574E-1,-5.365487933E-1
1.806012167E0,1.786429733E-1,-1.837146133E-1,-5.551283360E-1
1.816063167E0,-2.697164416E-1,-1.512839794E-1,-5.057290792E-1
1.826114167E0,9.325960279E-2,3.456109464E-1,-5.690455437E-1
1.836165167E0,2.547922358E-2,1.769391000E-1,-5.983533859E-1
1.846216167E0,-2.120195925E-1,-5.077175424E-2,-6.803008914E-1
1.856267167E0,1.790301949E-1,-2.184503153E-2,-7.204155326E-1
1.866318167E0,9.485839866E-3,2.589299530E-2,-8.093828559E-1
1.876369167E0,1.055071801E-1,2.465939522E-1,-8.892278671E-1
