"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.532458337E-3,-4.257187782E-2,-3.667077642E-2,-7.763757527E-2,9.583685991E-2
1.358445833E-2,-6.377347978E-2,1.179482982E-2,-8.003025591E-2,1.030097888E-1
2.363545833E-2,-4.593669461E-2,4.569975447E-2,-8.213291466E-2,1.046157882E-1
3.368745834E-2,5.334396567E-3,4.185323674E-2,-8.050329566E-2,9.088965741E-2
4.373845833E-2,6.260670444E-2,5.273793831E-2,-7.543726802E-2,1.113178826E-1
5.378945833E-2,8.256030958E-2,3.556692260E-2,-7.036714733E-2,1.141610534E-1
6.384145834E-2,9.672444033E-2,-1.660234658E-2,-6.558880270E-2,1.180387492E-1
7.389245833E-2,1.359379516E-1,-5.419066991E-2,-6.484503686E-2,1.600644688E-1
8.394445833E-2,1.575799950E-1,-6.280152636E-2,-6.948129416E-2,1.833115839E-1
9.399545834E-2,1.894590879E-1,-4.929686104E-2,-7.545714855E-2,2.098063577E-1
1.040474583E-1,2.729533805E-1,5.130241033E-2,-8.307256222E-2,2.898905584E-1
1.140984583E-1,2.128964824E-1,1.181859693E-1,-5.910833359E-2,2.505726055E-1
1.241494583E-1,5.337113695E-2,7.851691428E-2,-4.532936990E-2,1.052052083E-1
1.342014583E-1,-8.476112846E-2,-1.516511011E-2,-9.996107519E-2,1.319342488E-1
1.442524583E-1,-2.407574234E-1,-3.665539459E-1,-9.846652687E-2,4.494681180E-1
1.543044583E-1,-3.681141657E-1,-6.546503907E-1,-1.215361315E-1,7.608194295E-1
1.643554583E-1,-3.135352316E-1,-4.205771387E-1,-8.383913219E-2,5.312423846E-1
1.744074583E-1,-4.280479435E-1,-1.928231738E-1,-9.120370030E-2,4.782509103E-1
1.844584583E-1,-4.814926640E-1,-3.763515587E-2,-1.111485529E-1,4.955861088E-1
1.945094583E-1,-3.366535874E-1,3.445736775E-1,-1.422943318E-1,5.023090025E-1
2.045614583E-1,-3.426275414E-1,4.786228140E-1,-3.817647099E-3,5.886323170E-1
2.146124583E-1,-2.445684924E-1,2.121309357E-1,-4.511945486E-2,3.268777241E-1
2.246644583E-1,-5.702307031E-2,-9.583961042E-2,-1.729764265E-1,2.058098773E-1
2.347154583E-1,2.979385695E-1,-1.719449046E-1,-1.010118198E-1,3.585189384E-1
2.447664583E-1,3.665792716E-1,-1.845359698E-1,-3.739762187E-2,4.121073509E-1
2.548184583E-1,3.637276942E-1,-9.255317372E-2,-9.184046209E-2,3.863917649E-1
2.648694583E-1,3.978777359E-1,8.367584869E-3,-9.774790406E-2,4.097942923E-1
2.749214583E-1,3.985472421E-1,3.906613399E-2,-5.872241735E-2,4.047399033E-1
2.849724583E-1,3.694827797E-1,3.607693685E-2,-7.985367000E-2,3.797310607E-1
2.950244583E-1,3.177033462E-1,6.547248879E-2,-1.170542407E-1,3.448532416E-1
3.050754583E-1,2.892390090E-1,1.029096250E-1,-7.844449103E-2,3.168645348E-1
3.151264583E-1,2.798983744E-1,2.117253764E-1,-6.641150594E-2,3.571851384E-1
